 ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action,ray1
9.576447,1.376962,8.490501,0.7800632,9.841402,0.27912,-32.16542,19.80128,,ACCELERATE,
8.908416,2.463638,8.270769,1.135338,10.81688,0.2791821,-31.04526,19.90101,,ACCELERATE,
8.205875,5.10557,7.962076,1.650146,11.78111,0.2791478,-29.92399,20.00029,,LEFT_ACCELERATE,
7.559597,9.895965,7.480527,2.267246,12.73658,0.2791674,-28.72277,20.10342,,LEFT_ACCELERATE,
7.127003,9.148826,6.936241,2.766346,13.53204,0.2791808,-27.46712,20.20343,,LEFT_ACCELERATE,
6.952462,7.384098,6.454925,3.062777,14.11911,0.2792021,-26.11855,20.30254,,LEFT_ACCELERATE,
6.967117,6.447685,6.151551,3.244498,14.49022,0.2791913,-24.70274,20.40108,,LEFT_ACCELERATE,
6.997432,6.123809,5.954258,3.397295,14.7279,0.2791798,-23.23792,20.50082,,LEFT_ACCELERATE,
7.276094,5.630322,5.785246,3.485792,14.85982,0.2791775,-21.75525,20.6009,,LEFT_ACCELERATE,
7.807245,5.100808,5.753761,3.454454,14.84852,0.2791748,-20.21968,20.7041,,LEFT_ACCELERATE,
8.014486,4.928605,5.797734,3.404714,14.80248,0.2791657,-18.78046,20.8008,,ACCELERATE,
8.016244,4.91664,5.819208,3.384057,14.78326,0.2791623,-17.2966,20.90045,,RIGHT_ACCELERATE,
7.791879,5.100707,5.784842,3.426625,14.82512,0.2791616,-15.76021,21.00367,,ACCELERATE,
7.708192,5.192278,5.725242,3.486439,14.88436,0.2791606,-14.30005,21.10178,,ACCELERATE,
7.763934,5.169094,5.669075,3.535829,14.93425,0.2791596,-12.80718,21.20207,,LEFT_ACCELERATE,
8.154259,4.898639,5.693154,3.507582,14.90459,0.2791623,-11.31962,21.30201,,LEFT_ACCELERATE,
8.257703,4.810122,5.745286,3.455904,14.85389,0.2791618,-9.804313,21.4038,,ACCELERATE,
8.314665,4.754611,5.785472,3.415705,14.8139,0.2791614,-8.347998,21.50161,,ACCELERATE,
8.365443,4.705052,5.821389,3.379772,14.77827,0.2791603,-6.83309,21.60333,,ACCELERATE,
8.410158,4.661505,5.852854,3.348299,14.74686,0.2791594,-5.329443,21.7043,,ACCELERATE,
8.450365,4.622426,5.881021,3.320126,14.71875,0.2791602,-3.863729,21.80272,,ACCELERATE,
8.488055,4.585844,5.907347,3.293798,14.69245,0.2791596,-2.407326,21.90051,,ACCELERATE,
8.525631,4.54941,5.933531,3.267612,14.66616,0.2791604,-0.8866563,22.00261,,ACCELERATE,
8.561712,4.514456,5.958632,3.242512,14.64104,0.2791593,0.6109447,22.10317,,ACCELERATE,
8.597187,4.480112,5.98328,3.217865,14.6165,0.2791601,2.104789,22.20347,,ACCELERATE,
8.632248,4.446182,6.00762,3.193527,14.59219,0.2791597,3.603691,22.3041,,ACCELERATE,
8.665953,4.413576,6.031006,3.170142,14.56875,0.2791598,5.062498,22.40205,,ACCELERATE,
8.51645,4.482297,6.040073,3.159971,14.56189,0.2791595,6.570372,22.5033,,RIGHT_ACCELERATE,
8.236992,4.677455,5.990711,3.213038,14.61437,0.2791626,8.030798,22.60143,,ACCELERATE,
8.154988,4.7636,5.93234,3.27147,14.67226,0.2791594,9.564777,22.70449,,ACCELERATE,
8.086783,4.836092,5.882247,3.321541,14.72202,0.2791595,10.99798,22.80077,,ACCELERATE,
8.020443,4.906563,5.833566,3.370203,14.77056,0.2791602,12.48204,22.90046,,ACCELERATE,
7.957059,4.973826,5.787156,3.416597,14.81864,0.2791598,14.01729,23.00358,,ACCELERATE,
7.892229,5.042579,5.739763,3.463979,14.86429,0.2791597,15.52004,23.10451,,ACCELERATE,
7.832042,5.106381,5.695807,3.507925,14.90812,0.2791612,16.99329,23.20346,,ACCELERATE,
7.773995,5.167891,5.653446,3.55028,14.95053,0.2791594,18.43906,23.30057,,ACCELERATE,
7.713549,5.231925,5.609359,3.59436,14.99449,0.2791601,19.9526,23.40222,,ACCELERATE,
7.654867,5.294093,5.566565,3.637149,15.03729,0.2791594,21.43655,23.50189,,ACCELERATE,
7.595103,5.35739,5.522997,3.680711,15.08091,0.279161,22.95671,23.60399,,ACCELERATE,
7.537798,5.418073,5.48123,3.722474,15.1229,0.2791589,24.4253,23.70265,,NONE,
7.481773,5.477393,5.440405,3.763294,15.16316,0.2791681,25.83674,23.8013,,NONE,
7.429467,5.532774,5.402302,3.801394,15.20141,0.2791753,27.18016,23.90142,,NONE,
7.380163,5.584967,5.366394,3.8373,15.23701,0.2791776,28.43254,24.00111,,NONE,
7.333551,5.634315,5.332446,3.871245,15.27066,0.2791813,29.61777,24.1022,,NONE,
7.291026,5.679332,5.301477,3.902211,15.30278,0.279184,30.75009,24.20609,,NONE,
7.251231,5.721459,5.272497,3.93119,15.33061,0.2791862,31.73182,24.30314,,NONE,
7.199049,5.759377,5.246411,3.957273,15.35654,0.2791878,32.64721,24.40073,,NONE,
7.135925,5.817751,5.221584,3.982098,15.38126,0.2791907,33.52049,24.5017,,NONE,
7.041162,5.918196,5.199193,4.004487,15.4035,0.2791948,34.30614,24.60065,,NONE,
6.944991,6.063273,5.178751,4.02493,15.42392,0.2791972,35.02789,24.70011,,NONE,
6.832222,6.251345,5.160028,4.043651,15.44256,0.279198,35.68678,24.80005,,NONE,
6.725306,6.487169,5.142525,4.061152,15.45997,0.2792005,36.30254,24.90379,,NONE,
6.612502,6.740592,5.127953,4.075724,15.47446,0.2791778,36.81501,25.0002,,NONE,
6.508392,7.033482,5.111707,4.097527,15.48783,0.274943,37.28797,25.10028,,NONE,
6.41413,7.36382,5.090365,4.118833,15.49988,0.2753165,37.71388,25.20342,,NONE,
6.320716,7.696965,5.072766,4.14742,15.50991,0.2756209,38.06859,25.30308,,NONE,
6.240809,8.042601,5.057849,4.17524,15.51832,0.2757146,38.36621,25.40161,,NONE,
6.175014,8.401576,5.038951,4.198146,15.52533,0.2757379,38.61408,25.50078,,NONE,
6.120694,8.755935,5.020018,4.222232,15.531,0.2757436,38.81423,25.60134,,NONE,
6.080041,9.056303,5.005847,4.243192,15.53526,0.2757441,38.96486,25.70211,,NONE,
6.052692,9.325942,4.996317,4.257287,15.53811,0.2757465,39.06536,25.80045,,NONE,
6.037277,9.477939,4.990945,4.265233,15.5397,0.2757491,39.12173,25.90006,,NONE,
6.033265,9.517502,4.989547,4.267301,15.54008,0.2757507,39.13507,26.00018,,NONE,
6.033237,9.517717,4.989539,4.267313,15.54008,0.2757452,39.13512,26.10114,,NONE,
